os,software,files
windows,epos,bootSfs.exe
windows,epos,epos.exe
windows,epos,epos2ages.exe
windows,epos,epos2plot.exe
windows,epos,libblas.dll
windows,epos,libgsl.dll
windows,epos,libgslcblas.dll
windows,epos,ms2sfs.exe
windows,epos,plotSum.exe
windows,epos,bootSfs
windows,epos,bootSfs
windows,gone,script_GONE.sh
windows,gone,PROGRAMMES
windows ,Neestimator,Ne2-1.exe
windows,stairway2,stairway_plot_es
linux,epos,bootSfs
linux,epos,epos
linux,epos,epos2plot
linux,gone,script_GONE.sh
linux,gone,PROGRAMMES
linux,Neestimator,Ne2-1L
linux,stairway2,stairway_plot_es
mac,gone,script_GONE.sh
mac,gone,PROGRAMMES
mac,Neestimator,Ne2-1M
mac,stairway2,stairway_plot_es
